Provider,Measure_ID,Value,Footnote,Start_Date,End_Date
050075,MSPB-1,0.886592,,01012014,12312014
050076,MSPB-1,0.747776,,01012014,12312014
050077,MSPB-1,1.017430,,01012014,12312014
050078,MSPB-1,0.961496,,01012014,12312014
050079,MSPB-1,0.975289,,01012014,12312014
050082,MSPB-1,1.006495,,01012014,12312014
050084,MSPB-1,0.997068,,01012014,12312014
050089,MSPB-1,1.017768,,01012014,12312014
050090,MSPB-1,0.884349,,01012014,12312014
050091,MSPB-1,1.010579,,01012014,12312014
050093,MSPB-1,0.989163,,01012014,12312014
050096,MSPB-1,N/A,1-The number of cases/patients is too few to report,01012014,12312014
050099,MSPB-1,1.037700,,01012014,12312014
050100,MSPB-1,0.988840,,01012014,12312014
050101,MSPB-1,0.994279,,01012014,12312014
050102,MSPB-1,1.170623,,01012014,12312014
050103,MSPB-1,1.045929,,01012014,12312014
050104,MSPB-1,1.083349,,01012014,12312014
050107,MSPB-1,0.947663,,01012014,12312014
050108,MSPB-1,0.940851,,01012014,12312014
050110,MSPB-1,0.878608,,01012014,12312014
050112,MSPB-1,1.007745,,01012014,12312014
050113,MSPB-1,0.870249,,01012014,12312014
050115,MSPB-1,1.016464,,01012014,12312014
050116,MSPB-1,1.025698,,01012014,12312014
050118,MSPB-1,1.001919,,01012014,12312014
050121,MSPB-1,0.899062,,01012014,12312014
050122,MSPB-1,0.988415,,01012014,12312014
050124,MSPB-1,1.046652,,01012014,12312014
050125,MSPB-1,0.970854,,01012014,12312014
050126,MSPB-1,1.070464,,01012014,12312014
050127,MSPB-1,0.959248,,01012014,12312014
050128,MSPB-1,1.009103,,01012014,12312014
050129,MSPB-1,1.066712,,01012014,12312014
050131,MSPB-1,0.979550,,01012014,12312014
050132,MSPB-1,1.185136,,01012014,12312014
050133,MSPB-1,0.903928,,01012014,12312014
050135,MSPB-1,1.242526,,01012014,12312014
050136,MSPB-1,0.917947,,01012014,12312014
050137,MSPB-1,0.846503,,01012014,12312014
050138,MSPB-1,0.859200,,01012014,12312014
050139,MSPB-1,0.848053,,01012014,12312014
050140,MSPB-1,0.824946,,01012014,12312014
050145,MSPB-1,0.937237,,01012014,12312014
050149,MSPB-1,1.002525,,01012014,12312014
050150,MSPB-1,0.935558,,01012014,12312014
050152,MSPB-1,1.013089,,01012014,12312014
050153,MSPB-1,0.998191,,01012014,12312014
050158,MSPB-1,1.068794,,01012014,12312014
050159,MSPB-1,0.999817,,01012014,12312014
050167,MSPB-1,0.971054,,01012014,12312014
050168,MSPB-1,1.041828,,01012014,12312014
050169,MSPB-1,0.976202,,01012014,12312014
050174,MSPB-1,0.950379,,01012014,12312014
050179,MSPB-1,0.944892,,01012014,12312014
050180,MSPB-1,0.987796,,01012014,12312014
050189,MSPB-1,0.922769,,01012014,12312014
050191,MSPB-1,1.145049,,01012014,12312014
050192,MSPB-1,0.864656,,01012014,12312014
050194,MSPB-1,0.896392,,01012014,12312014
